time,polarity
2019-05-01,0.09005236185383242
2019-06-01,0.009055976430976432
2019-07-01,0.09430670575968296
2019-08-01,0.15306831588491943
2019-09-01,0.060826567507730064
2019-10-01,0.042112901978973404
2019-11-01,-0.0012903270868624115
2019-12-01,0.011502876848897618
2020-01-01,0.0458475672877847
2020-02-01,0.05872294355115782
2020-03-01,0.05283971844118283
2020-04-01,0.05638007376868954
2020-05-01,0.019221335179290457
2020-06-01,0.0498762077294686
2020-07-01,0.15614817431408987
2020-08-01,0.08804049725015334
2020-09-01,0.08659323578228618
2020-10-01,0.056542891160238105
2020-11-01,0.06244277186394401
2020-12-01,0.12129867841275264
2021-01-01,0.07865567394962517
2021-02-01,0.07265944049865236
2021-03-01,0.08576775464861683
2021-04-01,-0.01173529930744733
2021-05-01,0.0388964978946044
2021-06-01,0.07944943981934438
2021-07-01,0.0332388563313599
2021-08-01,0.07713087253007368
2021-09-01,0.03559655576303539
2021-10-01,-0.05648809523809524
